ID,Kategori Umum,Kategori Khusus,Penyelenggara,Posisi,Deskripsi,Durasi,Tanggal Pendaftaran,Link,CP,Jenis Kontak,Lokasi,Persyaratan Pendaftaran,Skill yang didapat,,,
1,Kegiatan Umum,Organisasi Luar Kampus,AIESEC,Staff,"AIESEC, organisasi kepemimpinan pemuda global, menawarkan berbagai kegiatan menarik dan menantang untuk mengembangkan diri dan berkontribusi pada masyarakat. Mulai dari mengikuti program pertukaran pelajar di luar negeri, mengembangkan skill kepemimpinan melalui konferensi dan pelatihan, hingga terlibat dalam proyek-proyek kewirausahaan sosial dan advokasi, AIESEC membuka peluang bagi para anggotanya untuk mengasah berbagai skill seperti kepemimpinan, kerja sama tim, komunikasi, pemecahan masalah, dan lainnya. Bergabunglah dengan AIESEC dan ciptakan perubahan positif di dunia!",1 tahun,10-26 Agustus 2024,https://aiesec.or.id/join-aiesec/,‪6281333553871‬,Whatsapp,Surabaya,"- Mahasiswa D3/S1
- Mahasiswa angkatan 2021-2023
- Berusia 17-22 tahun
- Memiliki kesadaran tentang SDGs
- Leadership enthusiasts
- Ingin keluar dari comfort zone","- Strategic skill
- Analytical skill
- Komunikasi serta kerjasama dengan AIESEC secara global yang
menciptakan adanya kegiatan cross-cultural
- Teamwork",,,
2,Kegiatan Umum,Organisasi Luar Kampus,AIESEC,Staff,"AIESEC, organisasi kepemimpinan pemuda global, menawarkan berbagai kegiatan menarik dan menantang untuk mengembangkan diri dan berkontribusi pada masyarakat. Mulai dari mengikuti program pertukaran pelajar di luar negeri, mengembangkan skill kepemimpinan melalui konferensi dan pelatihan, hingga terlibat dalam proyek-proyek kewirausahaan sosial dan advokasi, AIESEC membuka peluang bagi para anggotanya untuk mengasah berbagai skill seperti kepemimpinan, kerja sama tim, komunikasi, pemecahan masalah, dan lainnya. Bergabunglah dengan AIESEC dan ciptakan perubahan positif di dunia!",1 tahun,10-26 Agustus 2024,https://aiesec.or.id/join-aiesec/,‪6281333553871‬,Whatsapp,Semarang,"- Mahasiswa D3/S1
- Mahasiswa angkatan 2021-2023
- Berusia 17-22 tahun
- Memiliki kesadaran tentang SDGs
- Leadership enthusiasts
- Ingin keluar dari comfort zone","- Strategic skill
- Analytical skill
- Komunikasi serta kerjasama dengan AIESEC secara global yang
menciptakan adanya kegiatan cross-cultural
- Teamwork",,,
3,Kegiatan Umum,Organisasi Luar Kampus,AIESEC,Staff,"AIESEC, organisasi kepemimpinan pemuda global, menawarkan berbagai kegiatan menarik dan menantang untuk mengembangkan diri dan berkontribusi pada masyarakat. Mulai dari mengikuti program pertukaran pelajar di luar negeri, mengembangkan skill kepemimpinan melalui konferensi dan pelatihan, hingga terlibat dalam proyek-proyek kewirausahaan sosial dan advokasi, AIESEC membuka peluang bagi para anggotanya untuk mengasah berbagai skill seperti kepemimpinan, kerja sama tim, komunikasi, pemecahan masalah, dan lainnya. Bergabunglah dengan AIESEC dan ciptakan perubahan positif di dunia!",1 tahun,10-26 Agustus 2024,https://aiesec.or.id/join-aiesec/,‪6281333553871‬,Whatsapp,Jakarta Selatan,"- Mahasiswa D3/S1
- Mahasiswa angkatan 2021-2023
- Berusia 17-22 tahun
- Memiliki kesadaran tentang SDGs
- Leadership enthusiasts
- Ingin keluar dari comfort zone","- Strategic skill
- Analytical skill
- Komunikasi serta kerjasama dengan AIESEC secara global yang
menciptakan adanya kegiatan cross-cultural
- Teamwork",,,
4,Kegiatan Umum,Organisasi Luar Kampus,AIESEC,Staff,"AIESEC, organisasi kepemimpinan pemuda global, menawarkan berbagai kegiatan menarik dan menantang untuk mengembangkan diri dan berkontribusi pada masyarakat. Mulai dari mengikuti program pertukaran pelajar di luar negeri, mengembangkan skill kepemimpinan melalui konferensi dan pelatihan, hingga terlibat dalam proyek-proyek kewirausahaan sosial dan advokasi, AIESEC membuka peluang bagi para anggotanya untuk mengasah berbagai skill seperti kepemimpinan, kerja sama tim, komunikasi, pemecahan masalah, dan lainnya. Bergabunglah dengan AIESEC dan ciptakan perubahan positif di dunia!",1 tahun,10-26 Agustus 2024,https://aiesec.or.id/join-aiesec/,‪6281333553871‬,Whatsapp,Bandung,"- Mahasiswa D3/S1
- Mahasiswa angkatan 2021-2023
- Berusia 17-22 tahun
- Memiliki kesadaran tentang SDGs
- Leadership enthusiasts
- Ingin keluar dari comfort zone","- Strategic skill
- Analytical skill
- Komunikasi serta kerjasama dengan AIESEC secara global yang
menciptakan adanya kegiatan cross-cultural
- Teamwork",,,
5,Kegiatan Umum,Organisasi Luar Kampus,AIESEC,Staff,"AIESEC, organisasi kepemimpinan pemuda global, menawarkan berbagai kegiatan menarik dan menantang untuk mengembangkan diri dan berkontribusi pada masyarakat. Mulai dari mengikuti program pertukaran pelajar di luar negeri, mengembangkan skill kepemimpinan melalui konferensi dan pelatihan, hingga terlibat dalam proyek-proyek kewirausahaan sosial dan advokasi, AIESEC membuka peluang bagi para anggotanya untuk mengasah berbagai skill seperti kepemimpinan, kerja sama tim, komunikasi, pemecahan masalah, dan lainnya. Bergabunglah dengan AIESEC dan ciptakan perubahan positif di dunia!",1 tahun,10-26 Agustus 2024,https://aiesec.or.id/join-aiesec/,‪6281333553871‬,Whatsapp,Samarinda,"- Mahasiswa D3/S1
- Mahasiswa angkatan 2021-2023
- Berusia 17-22 tahun
- Memiliki kesadaran tentang SDGs
- Leadership enthusiasts
- Ingin keluar dari comfort zone","- Strategic skill
- Analytical skill
- Komunikasi serta kerjasama dengan AIESEC secara global yang
menciptakan adanya kegiatan cross-cultural
- Teamwork",,,
6,Kegiatan Umum,Organisasi Luar Kampus,AIESEC,Staff,"AIESEC, organisasi kepemimpinan pemuda global, menawarkan berbagai kegiatan menarik dan menantang untuk mengembangkan diri dan berkontribusi pada masyarakat. Mulai dari mengikuti program pertukaran pelajar di luar negeri, mengembangkan skill kepemimpinan melalui konferensi dan pelatihan, hingga terlibat dalam proyek-proyek kewirausahaan sosial dan advokasi, AIESEC membuka peluang bagi para anggotanya untuk mengasah berbagai skill seperti kepemimpinan, kerja sama tim, komunikasi, pemecahan masalah, dan lainnya. Bergabunglah dengan AIESEC dan ciptakan perubahan positif di dunia!",1 tahun,10-26 Agustus 2024,https://aiesec.or.id/join-aiesec/,‪6281333553871‬,Whatsapp,Makassar,"- Mahasiswa D3/S1
- Mahasiswa angkatan 2021-2023
- Berusia 17-22 tahun
- Memiliki kesadaran tentang SDGs
- Leadership enthusiasts
- Ingin keluar dari comfort zone","- Strategic skill
- Analytical skill
- Komunikasi serta kerjasama dengan AIESEC secara global yang
menciptakan adanya kegiatan cross-cultural
- Teamwork",,,
7,Kegiatan Umum,Organisasi Luar Kampus,AIESEC,Staff,"AIESEC, organisasi kepemimpinan pemuda global, menawarkan berbagai kegiatan menarik dan menantang untuk mengembangkan diri dan berkontribusi pada masyarakat. Mulai dari mengikuti program pertukaran pelajar di luar negeri, mengembangkan skill kepemimpinan melalui konferensi dan pelatihan, hingga terlibat dalam proyek-proyek kewirausahaan sosial dan advokasi, AIESEC membuka peluang bagi para anggotanya untuk mengasah berbagai skill seperti kepemimpinan, kerja sama tim, komunikasi, pemecahan masalah, dan lainnya. Bergabunglah dengan AIESEC dan ciptakan perubahan positif di dunia!",1 tahun,10-26 Agustus 2024,https://aiesec.or.id/join-aiesec/,‪6281333553871‬,Whatsapp,Medan,"- Mahasiswa D3/S1
- Mahasiswa angkatan 2021-2023
- Berusia 17-22 tahun
- Memiliki kesadaran tentang SDGs
- Leadership enthusiasts
- Ingin keluar dari comfort zone","- Strategic skill
- Analytical skill
- Komunikasi serta kerjasama dengan AIESEC secara global yang
menciptakan adanya kegiatan cross-cultural
- Teamwork",,,
8,Kegiatan Umum,Organisasi Luar Kampus,StudentsxCEOs,Staff,"StudentsxCEOs, organisasi non-profit yang fokus pada pengembangan kepemimpinan dan kewirausahaan bagi para pelajar dan mahasiswa, menawarkan berbagai kegiatan menarik dan menantang untuk membantu anggotanya berkembang.

Melalui seminar, workshop, konferensi, proyek, kompetisi, dan mentorship, kamu dapat mengasah skill kepemimpinan, kewirausahaan, komunikasi, pemecahan masalah, manajemen waktu, keterampilan antarbudaya, presentasi, dan kerja sama tim.",1 tahun,"15-28 Februari 2024
1-14 September 2024",https://www.linkedin.com/company/studentsxceos/?originalSubdomain=id,6281315905075,Whatsapp,Surabaya,"- Mahasiswa
- Batasan keterlibatan maksimal pada dua organisasi pada saat rekrutmen terbuka atau komitmen untuk tidak bergabung pada lebih dari dua organisasi selama masa kerja

- Lebih diutamakan mahir menggunakan Ms. Excel atau Google Spreadsheet 

- Menunjukkan atribut kepribadian positif, keterampilan kepemimpinan, dan komitmen","- Teamwork
- Analytical thinking
- Spreadsheets skills
- Communication skill
- Leadership",,,
9,Kegiatan Umum,Organisasi Luar Kampus,StudentsxCEOs,Staff,"StudentsxCEOs, organisasi non-profit yang fokus pada pengembangan kepemimpinan dan kewirausahaan bagi para pelajar dan mahasiswa, menawarkan berbagai kegiatan menarik dan menantang untuk membantu anggotanya berkembang.

Melalui seminar, workshop, konferensi, proyek, kompetisi, dan mentorship, kamu dapat mengasah skill kepemimpinan, kewirausahaan, komunikasi, pemecahan masalah, manajemen waktu, keterampilan antarbudaya, presentasi, dan kerja sama tim.",1 tahun,"15-28 Februari 2024
1-14 September 2024",https://www.linkedin.com/company/studentsxceos/?originalSubdomain=id,6281315905075,Whatsapp,Jakarta Timur,"- Mahasiswa
- Batasan keterlibatan maksimal pada dua organisasi pada saat rekrutmen terbuka atau komitmen untuk tidak bergabung pada lebih dari dua organisasi selama masa kerja

- Lebih diutamakan mahir menggunakan Ms. Excel atau Google Spreadsheet 

- Menunjukkan atribut kepribadian positif, keterampilan kepemimpinan, dan komitmen","- Teamwork
- Analytical thinking
- Spreadsheets skills
- Communication skill
- Leadership",,,
10,Kegiatan Umum,Organisasi Luar Kampus,StudentsxCEOs,Staff,"StudentsxCEOs, organisasi non-profit yang fokus pada pengembangan kepemimpinan dan kewirausahaan bagi para pelajar dan mahasiswa, menawarkan berbagai kegiatan menarik dan menantang untuk membantu anggotanya berkembang.

Melalui seminar, workshop, konferensi, proyek, kompetisi, dan mentorship, kamu dapat mengasah skill kepemimpinan, kewirausahaan, komunikasi, pemecahan masalah, manajemen waktu, keterampilan antarbudaya, presentasi, dan kerja sama tim.",1 tahun,"15-28 Februari 2024
1-14 September 2024",https://www.linkedin.com/company/studentsxceos/?originalSubdomain=id,6281315905075,Whatsapp,Semarang,"- Mahasiswa
- Batasan keterlibatan maksimal pada dua organisasi pada saat rekrutmen terbuka atau komitmen untuk tidak bergabung pada lebih dari dua organisasi selama masa kerja

- Lebih diutamakan mahir menggunakan Ms. Excel atau Google Spreadsheet 

- Menunjukkan atribut kepribadian positif, keterampilan kepemimpinan, dan komitmen","- Teamwork
- Analytical thinking
- Spreadsheets skills
- Communication skill
- Leadership",,,
